2018-06-29,João,99,16
2018-06-29,Pedro,12,15
2018-06-29,Zeca,194,15
2018-06-29,Felipe,84,14
2018-06-29,Maria,30,12
2018-06-29,João,99,13
2018-06-29,Pedro,12,13
2018-06-29,Zeca,194,121
2018-06-29,Felipe,84,133
2018-06-29,Maria,30,13
2018-06-29,João,99,13
2018-06-29,Pedro,12,14
2018-06-29,Zeca,194,15
2018-06-29,Felipe,84,13234
2018-06-29,Maria,30,134
2018-06-29,João,99,13
2018-06-29,Pedro,12,1534
2018-06-29,Zeca,194,134
2018-06-29,Felipe,84,13
2018-06-29,Maria,30,14
2018-06-29,João,99,134
2018-06-29,Pedro,12,14
2018-06-29,Zeca,194,16
2018-06-29,Felipe,84,15
2018-06-29,Maria,30,153
2018-06-29,João,99,143
2018-06-29,Pedro,12,133
2018-06-29,Zeca,194,142
2018-06-29,Felipe,84,172
2018-06-29,Maria,30,135
2018-06-29,João,99,132
2018-06-29,Pedro,12,112
2018-06-29,Zeca,194,13
2018-06-29,Felipe,84,14
2018-06-29,Maria,30,15
2018-06-29,João,99,135
2018-06-29,Pedro,12,143
2018-06-29,Zeca,194,133
2018-06-29,Felipe,84,14
2018-06-29,Maria,30,144
2018-06-29,João,99,13
2018-06-29,Pedro,12,15
2018-06-29,Zeca,194,153
2018-06-29,Felipe,84,15
2018-06-29,Maria,30,133
2018-06-29,João,99,187
2018-06-29,Pedro,12,11
2018-06-29,Zeca,194,16
2018-06-29,Felipe,84,186
2018-06-29,Maria,30,11
2018-06-29,João,99,12
2018-06-29,Pedro,12,142
2018-06-29,Zeca,194,11
2018-06-29,Felipe,84,134
2018-06-29,Maria,30,142
2018-06-29,João,99,153
2018-06-29,Pedro,12,12
2018-06-29,Zeca,194,142
2018-06-29,Felipe,84,13
2018-06-29,Maria,30,13
